h_type,date,adress,loc,num_floor,unit_per_floor,price,age,statuse,view,doc_status,north,south,west,east,floor,area,num_sleep,telephone,kitchen,service,floor_covering,open,parking,warehouse,balcony,equipment,Document_type,Propertyـstatus
آپارتمان,1404/02/09,جشنواره خ زهدی,4,5,1,"13,000,000,000 تومان",3,اجاره,ترکیبی,شخصي,1,0,0,0,4,150,3,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,شوفاژ_کولر_آسانسور,شخصي,اجاره
آپارتمان,1404/02/07,تهرانپارس خ وفادار,4,5,4,"6,350,000,000 تومان",13,اجاره,سنگ,شخصي,0,1,0,0,1,57,1,1,MDF,ايرانی,سنگ,1,1,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,اجاره
آپارتمان,1404/01/30,فرجام غربی خ عبادی,4,5,2,"6,200,000,000 تومان",14,مسکونی,سنگ,مسکوني,1,0,0,0,5,71,1,1,MDF,ايرانی,سراميک,1,0,1,0,شوفاژ_کولر_آسانسور_گاز,مسکوني,مسکونی
آپارتمان,1404/02/10,حكیمیه خ فرهنگ,4,6,2,"12,500,000,000 تومان",9,مسکونی,ترکیبی,شخصي,0,1,0,0,6,113,2,1,MDF,ايراني فرنگي,سنگ,1,1,1,1,کولر_آسانسور_پکیج,شخصي,مسکونی
آپارتمان,1404/02/10,بنی هاشم نرسیده به خ نصیبی,4,5,2,"9,300,000,000 تومان",1,تخلیه,سنگ,شخصي,0,1,0,0,5,80,2,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
آپارتمان,1404/01/31,تهرانپارس خ استخر,4,4,1,"18,000,000,000 تومان",250,8,تخلیه,سنگ,0,1,0,0,1,150,3,1,MDF,ايراني فرنگي,سراميک,1,1,1,1,شوفاژ_کولر_آسانسور_پکیج_گاز,شخصي,تخلیه
آپارتمان,1404/02/07,تهرانپارس خ استخر,4,4,1,"3,000,000,000 تومان",8,مسکونی,سنگ,قولنامه اي,0,1,0,0,3,100,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,شوفاژ_کولر_گاز,قولنامه اي,مسکونی
آپارتمان,1404/02/10,لویزان خ شاه رضایی,4,3,2,"3,600,000,000 تومان",20,تخلیه,سنگ,قولنامه اي,1,0,0,0,3,55,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,کولر_گاز,قولنامه اي,تخلیه
آپارتمان,1404/02/01,بنی هاشم ك تنگستانی,4,4,1,"35,000,000,000 تومان",نوساز,تخلیه,ترکیبی,شخصي,1,1,0,0,سه واحد,249,6,3,MDF,ايراني فرنگي,سنگ,1,1,1,1,کولر_آسانسور_پکیج,شخصي,تخلیه
آپارتمان,1404/02/02,دلاوران خ تكاوران شمالی,4,6,2,"10,080,000,000 تومان",نوساز,تخلیه,سنگ,شخصي,0,1,0,0,1,112,2,0,MDF,ايراني فرنگي,سنگ,1,1,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
آپارتمان,1404/02/07,تهرانپارس فلكه اول,4,4,2,"8,700,000,000 تومان",17,تخلیه,سنگ,شخصي,0,1,0,0,4,97,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,کولر_گاز,شخصي,تخلیه
آپارتمان,1404/02/06,حكیمیه خ سازمان آب,4,4,7,"4,300,000,000 تومان",20,مسکونی,سنگ,تعاوني,0,1,0,0,4,72,2,1,MDF,ايرانی,سراميک,1,1,1,0,شوفاژ_کولر_گاز,تعاوني,مسکونی
آپارتمان,1404/01/31,تهرانپارس فلكه چهارم خ صاحب الزمان,4,4,2,"8,000,000,000 تومان",15,اجاره,سنگ,شخصي,1,0,0,0,3,105,2,1,MDF,ايرانی,سراميک,1,1,1,1,شوفاژ_کولر_گاز,شخصي,اجاره
آپارتمان,1404/01/31,شمس آباد میدان بهشتی,4,4,2,"5,200,000,000 تومان",25,اجاره,کنيتکس,شخصي,1,0,0,0,4,61,1,1,MDF,ايرانی,سراميک,1,0,1,1,کولر_گاز,شخصي,اجاره
آپارتمان,1404/01/30,شمس اباد بالاتر از میدان ملت,4,5,3,"13,000,000,000 تومان",21,تخلیه,سنگ,شخصي,1,0,0,0,5,113,2,1,MDF,ايراني فرنگي,پارکت,1,1,1,0,شوفاژ_کولر_آسانسور_گاز,شخصي,تخلیه
